Id,Rating
60000,1
60001,5
60002,2
60003,3
60004,1
60005,5
60006,4
60007,5
60008,5
60009,1
60010,5
60011,3
60012,5
60013,1
60014,5
60015,5
60016,1
60017,4
60018,4
60019,5
60020,5
60021,5
60022,5
60023,5
60024,1
60025,5
60026,5
60027,1
60028,1
60029,5
60030,1
60031,1
60032,1
60033,5
60034,3
60035,1
60036,1
60037,3
60038,1
60039,3
60040,5
60041,5
60042,1
60043,1
60044,5
60045,1
60046,1
60047,3
60048,1
60049,5
60050,5
60051,5
60052,1
60053,5
60054,5
60055,5
60056,3
60057,5
60058,5
60059,1
60060,5
60061,1
60062,5
60063,5
60064,5
60065,1
60066,1
60067,5
60068,5
60069,3
60070,5
60071,1
60072,3
60073,5
60074,5
60075,5
60076,5
60077,1
60078,5
60079,1
60080,1
60081,5
60082,5
60083,5
60084,1
60085,5
60086,5
60087,5
60088,5
60089,5
60090,5
60091,5
60092,5
60093,1
60094,5
60095,5
60096,5
60097,1
60098,5
60099,1
60100,3
60101,1
60102,5
60103,5
60104,1
60105,5
60106,5
60107,5
60108,1
60109,5
60110,1
60111,5
60112,1
60113,5
60114,5
60115,5
60116,5
60117,5
60118,5
60119,5
60120,5
60121,5
60122,1
60123,5
60124,5
60125,5
60126,5
60127,5
60128,1
60129,5
60130,5
60131,5
60132,1
60133,5
60134,5
60135,5
60136,1
60137,2
60138,5
60139,3
60140,2
60141,5
60142,5
60143,4
60144,5
60145,5
60146,1
60147,1
60148,1
60149,5
60150,5
60151,1
60152,5
60153,5
60154,1
60155,5
60156,5
60157,5
60158,5
60159,5
60160,5
60161,5
60162,5
60163,1
60164,1
60165,1
60166,1
60167,2
60168,5
60169,4
60170,2
60171,5
60172,5
60173,5
60174,5
60175,5
60176,5
60177,5
60178,1
60179,5
60180,1
60181,1
60182,5
60183,5
60184,5
60185,5
60186,5
60187,5
60188,5
60189,1
60190,1
60191,5
60192,4
60193,5
60194,1
60195,5
60196,1
60197,5
60198,3
60199,1
60200,5
60201,5
60202,5
60203,1
60204,3
60205,5
60206,5
60207,1
60208,2
60209,5
60210,1
60211,5
60212,5
60213,5
60214,5
60215,3
60216,5
60217,5
60218,1
60219,1
60220,5
60221,5
60222,5
60223,5
60224,1
60225,5
60226,5
60227,5
60228,5
60229,5
60230,5
60231,1
60232,1
60233,5
60234,1
60235,1
60236,5
60237,3
60238,5
60239,1
60240,5
60241,5
60242,5
60243,1
60244,1
60245,5
60246,5
60247,5
60248,5
60249,5
60250,4
60251,5
60252,1
60253,4
60254,3
60255,5
60256,2
60257,5
60258,5
60259,5
60260,5
60261,1
60262,2
60263,5
60264,1
60265,5
60266,5
60267,5
60268,1
60269,5
60270,5
60271,5
60272,5
60273,1
60274,5
60275,3
60276,5
60277,5
60278,1
60279,5
60280,5
60281,3
60282,3
60283,1
60284,5
60285,5
60286,5
60287,3
60288,1
60289,1
60290,1
60291,5
60292,5
60293,1
60294,1
60295,5
60296,5
60297,1
60298,1
60299,5
60300,5
60301,1
60302,5
60303,1
60304,1
60305,1
60306,5
60307,5
60308,5
60309,5
60310,5
60311,1
60312,5
60313,5
60314,5
60315,5
60316,5
60317,5
60318,5
60319,5
60320,5
60321,1
60322,1
60323,5
60324,1
60325,5
60326,3
60327,5
60328,5
60329,2
60330,1
60331,5
60332,5
60333,1
60334,1
60335,5
60336,5
60337,1
60338,1
60339,5
60340,5
60341,5
60342,5
60343,5
60344,5
60345,5
60346,4
60347,5
60348,1
60349,1
60350,5
60351,5
60352,5
60353,5
60354,5
60355,1
60356,5
60357,5
60358,5
60359,1
60360,5
60361,5
60362,5
60363,5
60364,5
60365,1
60366,1
60367,1
60368,3
60369,5
60370,1
60371,5
60372,5
60373,1
60374,5
60375,4
60376,1
60377,5
60378,5
60379,1
60380,5
60381,5
60382,5
60383,5
60384,1
60385,5
60386,5
60387,5
60388,1
60389,1
60390,1
60391,5
60392,5
60393,5
60394,5
60395,5
60396,1
60397,1
60398,5
60399,5
60400,5
60401,1
60402,5
60403,1
60404,1
60405,5
60406,1
60407,5
60408,1
60409,5
60410,5
60411,2
60412,5
60413,5
60414,5
60415,5
60416,5
60417,1
60418,1
60419,5
60420,5
60421,3
60422,5
60423,1
60424,5
60425,5
60426,2
60427,4
60428,5
60429,5
60430,5
60431,5
60432,5
60433,5
60434,5
60435,5
60436,5
60437,1
60438,5
60439,5
60440,1
60441,5
60442,1
60443,5
60444,5
60445,5
60446,5
60447,5
60448,5
60449,5
60450,1
60451,5
60452,5
60453,1
60454,5
60455,5
60456,1
60457,4
60458,1
60459,1
60460,1
60461,3
60462,5
60463,5
60464,1
60465,5
60466,1
60467,5
60468,3
60469,5
60470,3
60471,1
60472,5
60473,5
60474,5
60475,1
60476,3
60477,3
60478,1
60479,1
60480,5
60481,5
60482,5
60483,5
60484,1
60485,5
60486,5
60487,5
60488,1
60489,1
60490,5
60491,3
60492,5
60493,5
60494,5
60495,1
60496,5
60497,1
60498,1
60499,1
60500,5
60501,5
60502,5
60503,5
60504,5
60505,5
60506,5
60507,5
60508,5
60509,2
60510,5
60511,5
60512,5
60513,5
60514,1
60515,5
60516,1
60517,5
60518,1
60519,5
60520,1
60521,5
60522,5
60523,1
60524,5
